2020-10-19 00:35:42,153 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-10-19 00:35:42,177 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-10-19 00:35:42,178 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-10-19 00:35:42,178 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-10-19 00:35:42,185 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-10-19 00:35:42,185 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-10-19 00:35:42,200 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-10-19 00:53:33,485 INFO  SwAddin.cs: 271 - Assembly export called for file Shootout.SLDASM
2020-10-19 00:53:36,218 INFO  SwAddin.cs: 290 - Saving assembly
2020-10-19 00:53:37,909 INFO  SwAddin.cs: 293 - Opening property manager
2020-10-19 00:53:37,923 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Shootout.SLDASM
2020-10-19 00:53:37,928 INFO  ExportHelperExtension.cs: 1142 - Found 33 in Shootout.SLDASM
2020-10-19 00:53:37,929 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Shootout.SLDASM
2020-10-19 00:53:37,929 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-10-19 00:53:37,930 INFO  ExportHelperExtension.cs: 1167 - 5 components to check
2020-10-19 00:53:37,931 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from MarcoPlacaShootout-2
2020-10-19 00:53:37,931 INFO  ExportHelperExtension.cs: 1142 - Found 33 in MarcoPlacaShootout-2
2020-10-19 00:53:37,932 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in MarcoPlacaShootout-2
2020-10-19 00:53:37,933 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from MarcoEstrella-2
2020-10-19 00:53:37,933 INFO  ExportHelperExtension.cs: 1142 - Found 25 in MarcoEstrella-2
2020-10-19 00:53:37,934 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in MarcoEstrella-2
2020-10-19 00:53:37,934 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from MarcoCirculoShooutout-2
2020-10-19 00:53:37,934 INFO  ExportHelperExtension.cs: 1142 - Found 25 in MarcoCirculoShooutout-2
2020-10-19 00:53:37,935 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in MarcoCirculoShooutout-2
2020-10-19 00:53:37,936 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from Shootout.SLDASM
2020-10-19 00:53:37,936 INFO  ExportHelperExtension.cs: 1142 - Found 33 in Shootout.SLDASM
2020-10-19 00:53:37,938 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in Shootout.SLDASM
